"Location" "Year" "BaseLinePerHead" "TotalGranted" "Current.LA.code" "Local.authority" "County"
"Devon" "2014/15" 25 2757500 "E07000040" "East Devon" "Devon"
"Devon" "2014/15" 25 2757500 "E07000041" "Exeter" "Devon"
"Devon" "2014/15" 25 2757500 "E07000042" "Mid Devon" "Devon"
"Devon" "2014/15" 25 2757500 "E07000043" "North Devon" "Devon"
"Devon" "2014/15" 25 2757500 "E07000044" "South Hams" "Devon"
"Devon" "2014/15" 25 2757500 "E07000045" "Teignbridge" "Devon"
"Devon" "2014/15" 25 2757500 "E07000046" "Torridge" "Devon"
"Devon" "2014/15" 25 2757500 "E07000047" "West Devon" "Devon"
"Dorset" "2014/15" 29 2148166.66666667 "E07000048" "Christchurch" "Dorset"
"Dorset" "2014/15" 29 2148166.66666667 "E07000049" "East Dorset" "Dorset"
"Dorset" "2014/15" 29 2148166.66666667 "E07000050" "North Dorset" "Dorset"
"Dorset" "2014/15" 29 2148166.66666667 "E07000051" "Purbeck" "Dorset"
"Dorset" "2014/15" 29 2148166.66666667 "E07000052" "West Dorset" "Dorset"
"Dorset" "2014/15" 29 2148166.66666667 "E07000053" "Weymouth and Portland" "Dorset"
"Gloucestershire" "2014/15" 32 3632166.66666667 "E07000078" "Cheltenham" "Gloucestershire"
"Gloucestershire" "2014/15" 32 3632166.66666667 "E07000079" "Cotswold" "Gloucestershire"
"Gloucestershire" "2014/15" 32 3632166.66666667 "E07000080" "Forest of Dean" "Gloucestershire"
"Gloucestershire" "2014/15" 32 3632166.66666667 "E07000081" "Gloucester" "Gloucestershire"
"Gloucestershire" "2014/15" 32 3632166.66666667 "E07000082" "Stroud" "Gloucestershire"
"Gloucestershire" "2014/15" 32 3632166.66666667 "E07000083" "Tewkesbury" "Gloucestershire"
"Somerset" "2014/15" 24 3102600 "E07000187" "Mendip" "Somerset"
"Somerset" "2014/15" 24 3102600 "E07000188" "Sedgemoor" "Somerset"
"Somerset" "2014/15" 24 3102600 "E07000189" "South Somerset" "Somerset"
"Somerset" "2014/15" 24 3102600 "E07000190" "Taunton Deane" "Somerset"
"Somerset" "2014/15" 24 3102600 "E07000191" "West Somerset" "Somerset"
