"Location" "Year" "BaseLinePerHead" "TotalGranted" "Current.LA.code" "Local.authority" "County"
"Suffolk" "2013/14" 34 3653142.85714286 "E07000203" "Mid Suffolk" "Suffolk"
"Suffolk" "2013/14" 34 3653142.85714286 "E07000204" "St Edmundsbury" "Suffolk"
"Suffolk" "2013/14" 34 3653142.85714286 "E07000205" "Suffolk Coastal" "Suffolk"
"Suffolk" "2013/14" 34 3653142.85714286 "E07000206" "Waveney" "Suffolk"
"City of London" "2013/14" 186 1651000 "E09000001" "City of London" "Greater London"
"Barking and Dagenham" "2013/14" 60 12921000 "E09000002" "Barking and Dagenham" "Greater London"
"Barnet" "2013/14" 35 13799000 "E09000003" "Barnet" "Greater London"
"Bexley" "2013/14" 26 6886000 "E09000004" "Bexley" "Greater London"
"Brent" "2013/14" 56 18335000 "E09000005" "Brent" "Greater London"
"Bromley" "2013/14" 39 12601000 "E09000006" "Bromley" "Greater London"
"Camden" "2013/14" 108 25649000 "E09000007" "Camden" "Greater London"
"Croydon" "2013/14" 48 18312000 "E09000008" "Croydon" "Greater London"
"Ealing" "2013/14" 60 21376000 "E09000009" "Ealing" "Greater London"
"Enfield" "2013/14" 36 12961000 "E09000010" "Enfield" "Greater London"
"Greenwich" "2013/14" 64 18277000 "E09000011" "Greenwich" "Greater London"
"Hackney" "2013/14" 112 29005000 "E09000012" "Hackney" "Greater London"
"Hammersmith and Fulham" "2013/14" 108 20287000 "E09000013" "Hammersmith and Fulham" "Greater London"
"Haringey" "2013/14" 62 17587000 "E09000014" "Haringey" "Greater London"
"Harrow" "2013/14" 35 8874000 "E09000015" "Harrow" "Greater London"
"Havering" "2013/14" 33 8833000 "E09000016" "Havering" "Greater London"
"Hillingdon" "2013/14" 52 15281000 "E09000017" "Hillingdon" "Greater London"
"Hounslow" "2013/14" 44 12804000 "E09000018" "Hounslow" "Greater London"
"Islington" "2013/14" 112 24737000 "E09000019" "Islington" "Greater London"
"Kensington and Chelsea" "2013/14" 126 20636000 "E09000020" "Kensington and Chelsea" "Greater London"
