CASSR Code,CASSR Name,Current LA code,Local authority,County,,,,,,,,,
504,Northamptonshire,E07000150,Corby,Northamptonshire,,,,,,,,,
504,Northamptonshire,E07000151,Daventry,Northamptonshire,,,,,,,,,
504,Northamptonshire,E07000152,East Northamptonshire,Northamptonshire,,,,,,,,,
504,Northamptonshire,E07000153,Kettering,Northamptonshire,,,,,,,,,
504,Northamptonshire,E07000154,Northampton,Northamptonshire,,,,,,,,,
504,Northamptonshire,E07000155,South Northamptonshire,Northamptonshire,,,,,,,,,
504,Northamptonshire,E07000156,Wellingborough,Northamptonshire,,,,,,,,,
506,Derbyshire,E07000032,Amber Valley,Derbyshire,,,,,,,,,
506,Derbyshire,E07000033,Bolsover,Derbyshire,,,,,,,,,
506,Derbyshire,E07000034,Chesterfield,Derbyshire,,,,,,,,,
506,Derbyshire,E07000035,Derbyshire Dales,Derbyshire,,,,,,,,,
506,Derbyshire,E07000036,Erewash,Derbyshire,,,,,,,,,
506,Derbyshire,E07000037,High Peak,Derbyshire,,,,,,,,,
506,Derbyshire,E07000038,North East Derbyshire,Derbyshire,,,,,,,,,
506,Derbyshire,E07000039,South Derbyshire,Derbyshire,,,,,,,,,
507,Derby,E06000015,Derby UA,Derbyshire,,,,,,,,,
508,Leicestershire,E07000129,Blaby,Leicestershire,,,,,,,,,
508,Leicestershire,E07000130,Charnwood,Leicestershire,,,,,,,,,
508,Leicestershire,E07000131,Harborough,Leicestershire,,,,,,,,,
508,Leicestershire,E07000132,Hinckley and Bosworth,Leicestershire,,,,,,,,,
508,Leicestershire,E07000133,Melton,Leicestershire,,,,,,,,,
508,Leicestershire,E07000134,North West Leicestershire,Leicestershire,,,,,,,,,
508,Leicestershire,E07000135,Oadby and Wigston,Leicestershire,,,,,,,,,
509,Leicester,E06000016,Leicester UA,Leicestershire,,,,,,,,,
510,Rutland,E06000017,Rutland UA,Rutland,,,,,,,,,
511,Nottinghamshire,E07000170,Ashfield,Nottinghamshire,,,,,,,,,
511,Nottinghamshire,E07000171,Bassetlaw,Nottinghamshire,,,,,,,,,
511,Nottinghamshire,E07000172,Broxtowe,Nottinghamshire,,,,,,,,,
511,Nottinghamshire,E07000173,Gedling,Nottinghamshire,,,,,,,,,
511,Nottinghamshire,E07000174,Mansfield,Nottinghamshire,,,,,,,,,
511,Nottinghamshire,E07000175,Newark and Sherwood,Nottinghamshire,,,,,,,,,
511,Nottinghamshire,E07000176,Rushcliffe,Nottinghamshire,,,,,,,,,
512,Nottingham,E06000018,Nottingham UA,Nottinghamshire,,,,,,,,,
606,Hertfordshire,E07000095,Broxbourne,Hertfordshire,,,,,,,,,
606,Hertfordshire,E07000096,Dacorum,Hertfordshire,,,,,,,,,
606,Hertfordshire,E07000097,East Hertfordshire,Hertfordshire,,,,,,,,,
606,Hertfordshire,E07000098,Hertsmere,Hertfordshire,,,,,,,,,
606,Hertfordshire,E07000099,North Hertfordshire,Hertfordshire,,,,,,,,,
606,Hertfordshire,E07000100,St Albans,Hertfordshire,,,,,,,,,
606,Hertfordshire,E07000101,Stevenage,Hertfordshire,,,,,,,,,
606,Hertfordshire,E07000102,Three Rivers,Hertfordshire,,,,,,,,,
606,Hertfordshire,E07000103,Watford,Hertfordshire,,,,,,,,,
606,Hertfordshire,E07000104,Welwyn Hatfield,Hertfordshire,,,,,,,,,
607,Norfolk,E07000143,Breckland,Norfolk,,,,,,,,,
607,Norfolk,E07000144,Broadland,Norfolk,,,,,,,,,
607,Norfolk,E07000145,Great Yarmouth,Norfolk,,,,,,,,,
607,Norfolk,E07000146,King’s Lynn and West Norfolk,Norfolk,,,,,,,,,
607,Norfolk,E07000147,North Norfolk,Norfolk,,,,,,,,,
607,Norfolk,E07000148,Norwich,Norfolk,,,,,,,,,
607,Norfolk,E07000149,South Norfolk,Norfolk,,,,,,,,,
608,Oxfordshire,E07000177,Cherwell,Oxfordshire,,,,,,,,,
608,Oxfordshire,E07000178,Oxford,Oxfordshire,,,,,,,,,
608,Oxfordshire,E07000179,South Oxfordshire,Oxfordshire,,,,,,,,,
608,Oxfordshire,E07000180,Vale of White Horse,Oxfordshire,,,,,,,,,
608,Oxfordshire,E07000181,West Oxfordshire,Oxfordshire,,,,,,,,,
609,Suffolk,E07000200,Babergh,Suffolk,,,,,,,,,
