Unnamed: 0,Unnamed: 1,Current LA code,Local authority,County,Region,Usual residents 1991,Usual residents 2001,Usual residents 2011,Percentage change in usual residents 2001,Percentage change in usual residents 2011,Population density (km2) 2001,Population density (km2) 2011,Sex ratio 2001,Sex ratio 2011,Median age 2001,Median age 2011,Percentage of population aged 0-4 2001,Percentage of population aged 0-4 2011,Percentage of population aged 0-14 2001,Percentage of population aged 0-14 2011,Percentage of population aged 15-64 2001,Percentage of population aged 15-64 2011,Percentage of population aged 65 and over 2001,Percentage of population aged 65 and over 2011,Percentage of population aged 90 and over 2001,Percentage of population aged 90 and over 2011,Short term residents 2011,"Short-term residents per 10,000 usual residents 2011",Households 2001,Households 2011,Percentage change in households 2011,Average household size (persons) 2011,Response rate 2001,Response rate 2011,Internet return rates 2011
225.0,43UF,E07000211,Reigate and Banstead,Surrey,South East,"118,300","126,700","137,835",7.1,8.8,981.0,"1,067",96.4,95.8,39.0,40.0,6.2,6.6,18.7,18.5,65.0,65.0,16.3,16.5,0.9,1.0,294,21.3,"52,000","55,423",6.6,2.4,93.8,94.7,18.9
236.0,43UG,E07000212,Runnymede,Surrey,South East,"74,300","78,100","80,510",5.1,3.1,1001.0,"1,032",94.8,94.6,37.0,39.0,5.4,6.0,16.5,16.2,67.2,67.1,16.1,16.7,0.6,0.9,692,86.0,"32,000","32,714",2.2,2.4,93.4,95.8,19.1
271.0,43UH,E07000213,Spelthorne,Surrey,South East,"88,400","90,400","95,598",2.3,5.8,2013.0,"2,130",96.5,96.9,39.0,41.0,5.8,6.3,17.8,17.1,65.5,65.4,16.6,17.4,0.6,0.8,219,22.9,"38,000","39,512",4.0,2.4,96.0,95.6,19.2
285.0,43UJ,E07000214,Surrey Heath,Surrey,South East,"79,600","80,300","86,144",0.9,7.3,845.0,906,97.8,99.1,38.0,41.0,6.1,6.0,19.2,18.3,67.1,65.0,13.7,16.7,0.6,0.7,190,22.1,"32,000","33,546",4.8,2.5,98.2,95.6,21.8
292.0,43UK,E07000215,Tandridge,Surrey,South East,"74,900","79,300","82,998",5.9,4.7,320.0,334,92.9,93.7,40.0,43.0,5.9,5.9,18.9,18.1,64.3,63.4,16.8,18.5,0.8,1.1,135,16.3,"32,000","33,342",4.2,2.4,92.8,94.9,17.3
320.0,43UL,E07000216,Waverley,Surrey,South East,"115,100","115,700","121,572",0.5,5.1,335.0,352,94.3,95.3,40.0,42.0,5.7,6.0,18.1,18.4,64.2,62.0,17.6,19.6,1.0,1.2,350,28.8,"47,000","49,280",4.9,2.4,96.3,95.9,17.5
338.0,43UM,E07000217,Woking,Surrey,South East,"86,600","89,900","99,198",3.8,10.3,1414.0,"1,560",95.4,98.2,37.0,38.0,6.3,7.3,19.4,19.0,66.3,66.0,14.5,15.0,0.7,0.8,388,39.1,"37,000","39,467",6.7,2.5,96.8,95.3,20.5
1.0,45UB,E07000223,Adur,West Sussex,South East,"58,500","59,700","61,182",2.1,2.5,1429.0,"1,463",90.7,93.2,42.0,44.0,5.4,5.8,17.8,16.1,60.6,62.0,21.6,22.0,1.2,1.1,85,13.9,"26,000","26,957",3.7,2.2,96.4,96.1,14.7
4.0,45UC,E07000224,Arun,West Sussex,South East,"130,500","141,000","149,518",8.0,6.0,639.0,677,89.0,91.2,45.0,47.0,5.0,4.9,16.1,14.6,58.1,59.1,26.0,26.3,1.5,1.6,164,11.0,"63,000","66,706",5.9,2.2,95.8,96.7,13.1
63.0,45UD,E07000225,Chichester,West Sussex,South East,"101,800","106,500","113,794",4.6,6.8,135.0,145,89.5,91.6,44.0,46.0,5.0,5.0,16.6,15.3,60.4,60.2,23.0,24.5,1.2,1.3,388,34.1,"46,000","49,848",8.4,2.2,97.0,97.0,13.4
